date, calc, real
25.356, 14.873, 15.207
25.359, 14.73, 15.623
25.362, 14.524, 15.068
25.366, 14.265, 14.652
25.369, 13.962, 14.513
25.373, 13.623, 14.208
25.376, 13.258, 13.57
25.38, 12.876, 12.876
25.383, 13.737, 12.404
25.387, 12.883, 11.738
25.39, 12.17, 11.488
25.394, 11.585, 11.211
25.397, 11.115, 10.489
25.401, 10.748, 9.7124
25.404, 10.469, 9.7124
25.408, 10.267, 10.267
25.411, 9.071, 10.267
25.415, 9.3747, 10.267
25.418, 9.605, 10.378
25.422, 9.7675, 10.267
25.425, 9.8678, 10.351
25.428, 9.9114, 10.684
25.432, 9.904, 10.267
25.435, 9.8512, 9.8512
25.439, 10.21, 9.4904
25.442, 9.9158, 9.1852
25.446, 9.6404, 9.0464
25.449, 9.3815, 9.3794
25.453, 9.1366, 9.1297
25.456, 8.9036, 8.6024
25.46, 8.68, 8.1584
25.463, 8.4637, 8.4637
25.467, 7.7647, 8.4359
25.47, 7.7363, 7.6034
25.474, 7.6571, 6.9097
25.477, 7.5332, 6.5767
25.481, 7.3708, 6.4102
25.484, 7.1763, 6.5212
25.487, 6.9557, 6.6322
25.491, 6.7154, 6.7154
25.494, 7.1236, 6.8264
25.498, 6.6173, 6.6322
25.501, 6.1794, 6.2714
25.505, 5.8046, 5.9939
25.508, 5.4874, 5.7442
25.512, 5.2226, 5.4112
25.515, 5.0047, 5.1059
25.519, 4.8285, 4.8285
25.522, 4.1454, 4.5232
25.526, 4.2373, 4.329
25.529, 4.2978, 4.1347
25.533, 4.331, 4.0792
25.536, 4.341, 4.1625
25.54, 4.332, 4.551
25.543, 4.3081, 4.4122
25.547, 4.2735, 4.2735
25.55, 4.3296, 4.107
25.553, 4.2498, 3.6907
25.557, 4.182, 3.663
25.56, 4.1285, 3.6352
25.564, 4.0919, 3.6352
25.567, 4.0744, 3.9405
25.571, 4.0786, 4.0792
25.574, 4.107, 4.107
25.578, 5.3752, 4.107
25.581, 5.0098, 4.3567
25.585, 4.8032, 4.4677
25.588, 4.7366, 4.5787
25.592, 4.7912, 4.5787
